positive,negative,date
0.125,0.125,7/13/16
0.625,0.125,7/14/16
0.875,0.0,7/15/16
0.5,0.125,7/15/16
0.0,0.0,7/15/16
0.875,0.75,7/15/16
0.0,0.125,7/18/16
0.625,0.5,7/18/16
0.125,0.125,7/18/16
10.125,4.125,7/19/16
0.0,0.25,7/19/16
0.5,0.0,7/20/16
1.5,0.625,7/20/16
0.375,0.375,7/20/16
0.625,0.125,7/21/16
1.375,0.5,7/21/16
1.125,0.25,7/22/16
0.625,0.875,7/22/16
0.25,0.25,7/22/16
0.25,1.125,7/23/16
0.375,0.25,7/23/16
8.875,6.75,7/24/16
0.75,1.5,7/25/16
1.375,1.0,7/25/16
2.75,2.125,7/26/16
0.375,0.0,7/26/16
0.375,0.0,7/26/16
2.375,0.625,7/27/16
0.75,0.0,7/27/16
0.0,0.0,7/28/16
0.375,0.125,7/28/16
1.125,0.25,7/29/16
0.0,0.0,7/29/16
2.125,2.125,7/30/16
0.0,0.75,7/30/16
0.125,0.625,8/1/16
0.375,0.0,8/1/16
0.75,0.25,8/1/16
0.125,1.0,8/1/16
0.0,0.0,8/2/16
0.0,0.0,8/2/16
0.625,0.125,8/3/16
2.5,1.0,8/4/16
3.875,3.125,8/4/16
0.75,0.25,8/5/16
0.875,1.375,8/5/16
0.125,0.625,8/1/16
0.375,0.0,8/1/16
0.75,0.25,8/1/16
0.125,1.0,8/1/16
0.0,0.0,8/2/16
0.0,0.0,8/2/16
0.625,0.125,8/3/16
2.5,1.0,8/4/16
3.875,3.125,8/4/16
0.75,0.25,8/5/16
0.875,1.375,8/5/16
5.0,3.625,8/6/16
0.125,1.125,8/8/16
1.125,0.375,8/8/16
0.5,0.0,8/8/16
1.5,0.25,8/8/16
0.5,0.25,8/9/16
0.5,0.375,8/10/16
0.875,0.375,8/10/16
2.0,0.375,8/11/16
1.5,1.125,8/11/16
0.0,0.375,8/11/16
1.375,0.0,8/12/16
3.125,2.375,8/12/16
0.375,0.5,8/13/16
1.0,0.25,8/15/16
1.375,0.125,8/15/16
0.125,0.75,8/15/16
0.5,0.25,8/16/16
0.375,0.125,8/16/16
0.125,0.125,8/17/16
0.375,1.375,8/17/16
1.75,0.25,8/18/16
0.0,0.125,8/18/16
0.125,0.625,8/1/16
0.375,0.0,8/1/16
0.75,0.25,8/1/16
0.125,1.0,8/1/16
0.0,0.0,8/2/16
0.0,0.0,8/2/16
0.625,0.125,8/3/16
2.5,1.0,8/4/16
3.875,3.125,8/4/16
0.75,0.25,8/5/16
0.875,1.375,8/5/16
5.0,3.625,8/6/16
0.125,1.125,8/8/16
1.125,0.375,8/8/16
0.5,0.0,8/8/16
1.5,0.25,8/8/16
0.5,0.25,8/9/16
0.5,0.375,8/10/16
0.875,0.375,8/10/16
2.0,0.375,8/11/16
1.5,1.125,8/11/16
0.0,0.375,8/11/16
0.125,0.625,8/1/16
0.375,0.0,8/1/16
0.75,0.25,8/1/16
0.125,1.0,8/1/16
0.0,0.0,8/2/16
0.0,0.0,8/2/16
0.625,0.125,8/3/16
2.5,1.0,8/4/16
3.875,3.125,8/4/16
0.75,0.25,8/5/16
0.875,1.375,8/5/16
5.0,3.625,8/6/16
0.125,0.625,8/1/16
0.375,0.0,8/1/16
0.75,0.25,8/1/16
0.125,1.0,8/1/16
0.0,0.0,8/2/16
0.0,0.0,8/2/16
0.625,0.125,8/3/16
